import time: self [us] | cumulative | imported package
import time:       294 |        294 |   _io
import time:        44 |         44 |   marshal
import time:       325 |        325 |   posix
import time:       608 |       1269 | _frozen_importlib_external
import time:      1175 |       1175 |   time
import time:       221 |       1396 | zipimport
import time:       138 |        138 |     _codecs
import time:       252 |        389 |   codecs
import time:       774 |        774 |   encodings.aliases
import time:       925 |       2087 | encodings
import time:       346 |        346 | encodings.utf_8
import time:       153 |        153 | _signal
import time:        54 |         54 |     _abc
import time:       153 |        207 |   abc
import time:       195 |        401 | io
import time:        71 |         71 |       _stat
import time:        86 |        156 |     stat
import time:       885 |        885 |     _collections_abc
import time:        45 |         45 |       genericpath
import time:        98 |        143 |     posixpath
import time:       347 |       1531 |   os
import time:        84 |         84 |   _sitebuiltins
import time:       524 |        524 |   sitecustomize
import time:       961 |       3099 | site
import time:       338 |        338 |         types
import time:       172 |        172 |           _operator
import time:       375 |        547 |         operator
import time:       298 |        298 |             itertools
import time:       249 |        249 |             keyword
import time:       282 |        282 |             reprlib
import time:        90 |         90 |             _collections
import time:      1425 |       2342 |           collections
import time:        82 |         82 |           _functools
import time:      1035 |       3458 |         functools
import time:      1805 |       6147 |       enum
import time:        89 |         89 |         _sre
import time:       343 |        343 |           re._constants
import time:       591 |        933 |         re._parser
import time:       186 |        186 |         re._casefix
import time:       625 |       1832 |       re._compiler
import time:       244 |        244 |       copyreg
import time:       666 |       8888 |     re
import time:       568 |        568 |       _json
import time:       521 |       1089 |     json.scanner
import time:       602 |      10577 |   json.decoder
import time:       520 |        520 |   json.encoder
import time:       427 |      11523 | json
import time:      1132 |       1132 |   fnmatch
import time:       161 |        161 |     _winapi
import time:       111 |        111 |     nt
import time:       103 |        103 |     nt
import time:        99 |         99 |     nt
import time:        93 |         93 |     nt
import time:        94 |         94 |     nt
import time:        92 |         92 |     nt
import time:       294 |       1044 |   ntpath
import time:      1166 |       1166 |   warnings
import time:       132 |        132 |   errno
import time:       733 |        733 |     urllib
import time:      1161 |       1161 |     math
import time:      2384 |       2384 |     ipaddress
import time:      3844 |       8121 |   urllib.parse
import time:      2328 |      13921 | pathlib
import time:       763 |        763 |   collections.abc
import time:      1382 |       1382 |   contextlib
import time:        80 |         80 |   _typing
import time:      5000 |       7224 | typing
import time:       201 |        201 |         _wmi
import time:      1734 |       1934 |       platform
import time:      1926 |       1926 |       textwrap
import time:      1507 |       1507 |         _ctypes
import time:      1088 |       1088 |           _struct
import time:       662 |       1750 |         struct
import time:      1425 |       1425 |         ctypes._endian
import time:      2332 |       7013 |       ctypes
import time:      2942 |       2942 |           _ast
import time:      3459 |       6401 |         ast
import time:      1172 |       1172 |             _opcode
import time:      1764 |       2936 |           opcode
import time:      2575 |       5511 |         dis
import time:       746 |        746 |           importlib
import time:       159 |        905 |         importlib.machinery
import time:      1147 |       1147 |             token
import time:       116 |        116 |             _tokenize
import time:      2943 |       4206 |           tokenize
import time:       972 |       5178 |         linecache
import time:      5834 |      23826 |       inspect
import time:      1728 |       1728 |         traceback
import time:      1857 |       3584 |       torch._utils
import time:      1611 |       1611 |             _weakrefset
import time:      1911 |       3521 |           weakref
import time:       161 |        161 |             _string
import time:      2644 |       2804 |           string
import time:      3204 |       3204 |           threading
import time:        94 |         94 |           atexit
import time:      5392 |      15014 |         logging
import time:      1152 |       1152 |             zlib
import time:       682 |        682 |               _compression
import time:      1004 |       1004 |               _bz2
import time:       910 |       2595 |             bz2
import time:      1009 |       1009 |               _lzma
import time:       805 |       1814 |             lzma
import time:      4111 |       9670 |           shutil
import time:       921 |        921 |               _bisect
import time:       572 |       1492 |             bisect
import time:       742 |        742 |             _random
import time:       856 |        856 |             _sha2
import time:      1041 |       4129 |           random
import time:      1786 |      15584 |         tempfile
import time:       955 |      31552 |       torch._utils_internal
import time:       507 |        507 |         torch.version
import time:       580 |        580 |             torch._vendor
import time:       850 |       1430 |           torch._vendor.packaging
import time:       860 |        860 |           torch._vendor.packaging._structures
import time:      3412 |       5700 |         torch._vendor.packaging.version
import time:       678 |       6884 |       torch.torch_version
import time:       667 |        667 |               numpy._utils._convertions
import time:       751 |       1418 |             numpy._utils
import time:       899 |       2316 |           numpy._globals
import time:       843 |        843 |           numpy.exceptions
import time:       769 |        769 |           numpy.version
import time:       125 |        125 |             numpy._distributor_init_local
import time:       795 |        920 |           numpy._distributor_init
import time:       669 |        669 |                     numpy._utils._inspect
import time:      1740 |       1740 |                         _datetime
import time:       639 |       2379 |                       datetime
import time:       971 |        971 |                       numpy.core._exceptions
import time:       760 |        760 |                       numpy.dtypes
import time:     13970 |      18078 |                     numpy.core._multiarray_umath
import time:       955 |      19701 |                   numpy.core.overrides
import time:      1589 |      21290 |                 numpy.core.multiarray
import time:       623 |        623 |                 numpy.core.umath
import time:       717 |        717 |                   numbers
import time:       485 |        485 |                   numpy.core._string_helpers
import time:       110 |        110 |                         pickle5
import time:       611 |        611 |                           _compat_pickle
import time:      1279 |       1279 |                           _pickle
import time:      1586 |       3475 |                         pickle
import time:       816 |       4399 |                       numpy.compat.py3k
import time:       597 |       4995 |                     numpy.compat
import time:       782 |        782 |                     numpy.core._dtype
import time:       859 |       6636 |                   numpy.core._type_aliases
import time:       830 |       8667 |                 numpy.core.numerictypes
import time:      1000 |       1000 |                             _contextvars
import time:       444 |       1444 |                           contextvars
import time:       622 |       2065 |                         numpy.core._ufunc_config
import time:       672 |       2736 |                       numpy.core._methods
import time:      1591 |       4327 |                     numpy.core.fromnumeric
import time:       829 |       5156 |                   numpy.core.shape_base
import time:      1479 |       1479 |                   numpy.core.arrayprint
import time:       604 |        604 |                   numpy.core._asarray
import time:      1689 |       8925 |                 numpy.core.numeric
import time:      1678 |       1678 |                 numpy.core.defchararray
import time:       951 |        951 |                 numpy.core.records
import time:       565 |        565 |                 numpy.core.memmap
import time:       651 |        651 |                 numpy.core.function_base
import time:       501 |        501 |                 numpy.core._machar
import time:       726 |        726 |                 numpy.core.getlimits
import time:       810 |        810 |                 numpy.core.einsumfunc
import time:      3073 |       3073 |                   numpy.core._multiarray_tests
import time:      2045 |       5118 |                 numpy.core._add_newdocs
import time:       860 |        860 |                 numpy.core._add_newdocs_scalars
import time:       458 |        458 |                 numpy.core._dtype_ctypes
import time:      1129 |       1129 |                 numpy.core._internal
import time:       472 |        472 |                 numpy._pytesttester
import time:      1818 |      55234 |               numpy.core
import time:        57 |      55291 |             numpy.core._multiarray_umath
import time:       910 |      56201 |           numpy.__config__
import time:       762 |        762 |             numpy.lib.mixins
import time:       519 |        519 |                 numpy.lib.ufunclike
import time:       984 |       1502 |               numpy.lib.type_check
import time:       722 |       2224 |             numpy.lib.scimath
import time:       772 |        772 |                         numpy.lib.stride_tricks
import time:      1116 |       1887 |                       numpy.lib.twodim_base
import time:      2206 |       2206 |                       numpy.linalg._umath_linalg
import time:       500 |        500 |                         __future__
import time:       682 |        682 |                         numpy._typing._nested_sequence
import time:       340 |        340 |                         numpy._typing._nbit
import time:      1219 |       1219 |                         numpy._typing._char_codes
import time:       500 |        500 |                         numpy._typing._scalars
import time:       277 |        277 |                         numpy._typing._shape
import time:      1950 |       1950 |                         numpy._typing._dtype_like
import time:      2594 |       2594 |                         numpy._typing._array_like
import time:      1060 |       9117 |                       numpy._typing
import time:      2117 |      15325 |                     numpy.linalg.linalg
import time:       479 |      15804 |                   numpy.linalg
import time:       786 |      16590 |                 numpy.matrixlib.defmatrix
import time:       508 |      17097 |               numpy.matrixlib
import time:       703 |        703 |                 numpy.lib.histograms
import time:      1834 |       2536 |               numpy.lib.function_base
import time:       881 |      20513 |             numpy.lib.index_tricks
import time:      1605 |       1605 |             numpy.lib.nanfunctions
import time:      1131 |       1131 |             numpy.lib.shape_base
import time:      1126 |       1126 |             numpy.lib.polynomial
import time:      1089 |       1089 |             numpy.lib.utils
import time:       795 |        795 |             numpy.lib.arraysetops
import time:       601 |        601 |               numpy.lib.format
import time:       687 |        687 |               numpy.lib._datasource
import time:      1492 |       1492 |               numpy.lib._iotools
import time:      1359 |       4138 |             numpy.lib.npyio
import time:       625 |        625 |             numpy.lib.arrayterator
import time:       443 |        443 |             numpy.lib.arraypad
import time:       477 |        477 |             numpy.lib._version
import time:      1266 |      36187 |           numpy.lib
import time:      1095 |       1095 |               numpy.fft._pocketfft_internal
import time:       952 |       2046 |             numpy.fft._pocketfft
import time:       452 |        452 |             numpy.fft.helper
import time:       593 |       3090 |           numpy.fft
import time:       853 |        853 |               numpy.polynomial.polyutils
import time:      1545 |       1545 |               numpy.polynomial._polybase
import time:      1192 |       3589 |             numpy.polynomial.polynomial
import time:       980 |        980 |             numpy.polynomial.chebyshev
import time:      1075 |       1075 |             numpy.polynomial.legendre
import time:      1074 |       1074 |             numpy.polynomial.hermite
import time:      1021 |       1021 |             numpy.polynomial.hermite_e
import time:      1491 |       1491 |             numpy.polynomial.laguerre
import time:       776 |      10002 |           numpy.polynomial
import time:       174 |        174 |                     backports_abc
import time:      1677 |       1850 |                   numpy.random._common
import time:      2228 |       2228 |                       binascii
import time:       849 |       3076 |                     base64
import time:      4989 |       4989 |                       _hashlib
import time:      1294 |       1294 |                         _blake2
import time:       728 |       2022 |                       hashlib
import time:       775 |       7785 |                     hmac
import time:       564 |      11424 |                   secrets
import time:      1616 |      14890 |                 numpy.random.bit_generator
import time:      1627 |       1627 |                 numpy.random._bounded_integers
import time:      1756 |       1756 |                 numpy.random._mt19937
import time:      2283 |      20555 |               numpy.random.mtrand
import time:      1809 |       1809 |               numpy.random._philox
import time:      2313 |       2313 |               numpy.random._pcg64
